,Entity,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
115,Iraq,IRQ,0,0,0,0,0,0,0,0,0,0,
116,Israel,ISR,0,0,0,0,0,0,0.1,0.1,0.1,0.1,
117,Jordan,JOR,0,0,0,0,0,0,0,0,0,0,
118,Kuwait,KWT,0,0,0,0,0,0,0,0,0,0,
119,Lebanon,LBN,0,0,0,0,0,0,0,0,0,0,
120,Oman,OMN,0,0,0,0,0,0,0,0,0,0,
121,Palestine,PSE,0,0,0,0,0,0,0,0,0,0,
122,Qatar,QAT,0,0,0,0,0,0,0,0,0,0,
123,Saudi Arabia,SAU,0,0,0,0,0,0,0,0,0,0,
124,Syria,SYR,0,0,0,0,0,0,0,0,0,0,
125,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,
126,Yemen,YEM,0,0,0,0,0,0,0,0,0,0,
127,Africa,,0.2,0.2,0.2,0.2,0.1,0.1,0.4,0.635,0.15,0.2,
128,Algeria,DZA,0,0,0,0,0,0,0,0,0,0,
129,Angola,AGO,0,0,0,0,0,0,0,0,0,0,
130,Benin,BEN,0,0,0,0,0,0,0,0,0,0,
131,Botswana,BWA,0,0,0,0,0,0,0,0,0,0,
132,Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,
133,Burundi,BDI,0,0,0,0,0,0,0,0,0,0,
134,Cameroon,CMR,0,0,0,0,0,0,0,0,0,0,
135,Cape Verde,CPV,0,0,0,0,0,0,0,0,0,0,
136,Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0,
137,Chad,TCD,0,0,0,0,0,0,0,0,0,0,
138,Comoros,COM,0,0,0,0,0,0,0,0,0,0,
139,Congo (Brazzaville),,0,0,0,0,0,0,0,0,0,0,
140,Congo (Kinshasa),,0,0,0,0,0,0,0,0,0,0,
141,Cote dIvoire (IvoryCoast),,0,0,0,0,0,0,0,0,0,0,
142,Djibouti,DJI,0,0,0,0,0,0,0,0,0,0,
143,Egypt,EGY,0,0,0,0,0,0,0,0,0,0,
144,Equatorial Guinea,GNQ,0,0,0,0,0,0,0,0,0,0,
145,Eritrea,ERI,0,0,0,0,0,0,0,0,0,0,
146,Ethiopia,ETH,0,0,0,0,0,0,0,0.03,0.03,0.05,
147,Gabon,GAB,0,0,0,0,0,0,0,0,0,0,
148,Gambia,GMB,0,0,0,0,0,0,0,0,0,0,0
149,Ghana,GHA,0,0,0,0,0,0,0,0,0,0,
150,Guinea,GIN,0,0,0,0,0,0,0,0,0,0,
151,Guinea-Bissau,GNB,0,0,0,0,0,0,0,0,0,0,
152,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,
153,Lesotho,LSO,0,0,0,0,0,0,0,0,0,0,
154,Liberia,LBR,0,0,0,0,0,0,0,0,0,0,
155,Libya,LBY,0,0,0,0,0,0,0,0,0,0,
156,Madagascar,MDG,0,0,0,0,0,0,0,0,0,0,
157,Malawi,MWI,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,
158,Mali,MLI,0,0,0,0,0,0,0,0,0,0,
159,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,
160,Mauritius,MUS,0,0,0,0,0,0,0,0,0,0,
161,Morocco,MAR,0,0,0,0,0,0,0,0,0,0,
162,Mozambique,MOZ,0,0,0,0,0,0,0,0,0,0,
163,Namibia,NAM,0,0,0,0,0,0,0,0,0,0,
164,Niger,NER,0,0,0,0,0,0,0,0,0,0,
165,Nigeria,NGA,0,0,0,0,0,0,0.3,0.5,0,0,
166,Reunion,REU,0,0,0,0,0,0,0,0,0,0,
167,Rwanda,RWA,0,0,0,0,0,0,0,0,0,0.01,
168,Saint Helena,SHN,0,0,0,0,0,0,0,0,0,0,
169,Sao Tome and Principe,STP,0,0,0,0,0,0,0,0,0,0,
170,Senegal,SEN,0,0,0,0,0,0,0,0,0,0,
171,Seychelles,SYC,0,0,0,0,0,0,0,0,0,0,
172,Sierra Leone,SLE,0,0,0,0,0,0,0,0,0,0,
173,Somalia,SOM,0,0,0,0,0,0,0,0,0,0,
174,South Africa,ZAF,0,0,0,0,0,0,0,0.005,0.01,0.03,
175,Sudan,SDN,0,0,0,0,0,0,0,0,0,0,
176,Swaziland,SWZ,0,0,0,0,0,0,0,0,0,0,
177,Tanzania,TZA,0,0,0,0,0,0,0,0,0.01,0.01,
178,Togo,TGO,0,0,0,0,0,0,0,0,0,0,
179,Tunisia,TUN,0,0,0,0,0,0,0,0,0,0,
180,Uganda,UGA,0,0,0,0,0,0,0,0,0,0,
