,Unnamed: 0,Entity,Code,Year,Annual_biofuel_consumption,Continent
305,,Brazil,BRA,2008,420.26531,South America
306,,Brazil,BRA,2009,424.33586,South America
307,,Brazil,BRA,2010,0,South America
308,,British Virgin Islands,VGB,2000,0,
309,,British Virgin Islands,VGB,2001,0,
310,,British Virgin Islands,VGB,2002,0,
311,,British Virgin Islands,VGB,2003,0,
312,,British Virgin Islands,VGB,2004,0,
313,,British Virgin Islands,VGB,2005,0,
314,,British Virgin Islands,VGB,2006,0,
315,,British Virgin Islands,VGB,2007,0,
316,,British Virgin Islands,VGB,2008,0,
317,,British Virgin Islands,VGB,2009,0,
318,,British Virgin Islands,VGB,2010,0,
319,,Brunei,BRN,2000,0,
320,,Brunei,BRN,2001,0,
321,,Brunei,BRN,2002,0,
322,,Brunei,BRN,2003,0,
323,,Brunei,BRN,2004,0,
324,,Brunei,BRN,2005,0,
325,,Brunei,BRN,2006,0,
326,,Brunei,BRN,2007,0,
327,,Brunei,BRN,2008,0,
328,,Brunei,BRN,2009,0,
329,,Brunei,BRN,2010,0,
330,,Bulgaria,BGR,2000,0,Europe
331,,Bulgaria,BGR,2001,0,Europe
332,,Bulgaria,BGR,2002,0,Europe
333,,Bulgaria,BGR,2003,0,Europe
334,,Bulgaria,BGR,2004,0,Europe
335,,Bulgaria,BGR,2005,0.1,Europe
336,,Bulgaria,BGR,2006,0.04,Europe
337,,Bulgaria,BGR,2007,0.08,Europe
338,,Bulgaria,BGR,2008,0.1,Europe
339,,Bulgaria,BGR,2009,0.8,Europe
340,,Bulgaria,BGR,2010,0,Europe
341,,Burkina Faso,BFA,2000,0,Africa
342,,Burkina Faso,BFA,2001,0,Africa
343,,Burkina Faso,BFA,2002,0,Africa
344,,Burkina Faso,BFA,2003,0,Africa
345,,Burkina Faso,BFA,2004,0,Africa
346,,Burkina Faso,BFA,2005,0,Africa
347,,Burkina Faso,BFA,2006,0,Africa
348,,Burkina Faso,BFA,2007,0,Africa
349,,Burkina Faso,BFA,2008,0,Africa
350,,Burkina Faso,BFA,2009,0,Africa
351,,Burkina Faso,BFA,2010,0,Africa
352,,Burundi,BDI,2000,0,Africa
353,,Burundi,BDI,2001,0,Africa
354,,Burundi,BDI,2002,0,Africa
355,,Burundi,BDI,2003,0,Africa
356,,Burundi,BDI,2004,0,Africa
357,,Burundi,BDI,2005,0,Africa
358,,Burundi,BDI,2006,0,Africa
359,,Burundi,BDI,2007,0,Africa
360,,Burundi,BDI,2008,0,Africa
361,,Burundi,BDI,2009,0,Africa
362,,Burundi,BDI,2010,0,Africa
363,,Cambodia,KHM,2000,0,Asia
364,,Cambodia,KHM,2001,0,Asia
365,,Cambodia,KHM,2002,0,Asia
366,,Cambodia,KHM,2003,0,Asia
367,,Cambodia,KHM,2004,0,Asia
368,,Cambodia,KHM,2005,0,Asia
369,,Cambodia,KHM,2006,0,Asia
370,,Cambodia,KHM,2007,0,Asia
371,,Cambodia,KHM,2008,0.0001,Asia
372,,Cambodia,KHM,2009,0.0005,Asia
373,,Cambodia,KHM,2010,0,Asia
374,,Cameroon,CMR,2000,0,Africa
375,,Cameroon,CMR,2001,0,Africa
376,,Cameroon,CMR,2002,0,Africa
377,,Cameroon,CMR,2003,0,Africa
378,,Cameroon,CMR,2004,0,Africa
379,,Cameroon,CMR,2005,0,Africa
380,,Cameroon,CMR,2006,0,Africa
381,,Cameroon,CMR,2007,0,Africa
382,,Cameroon,CMR,2008,0,Africa
383,,Cameroon,CMR,2009,0,Africa
384,,Cameroon,CMR,2010,0,Africa
385,,Canada,CAN,2000,4.5,North America
386,,Canada,CAN,2001,4.5,North America
387,,Canada,CAN,2002,4.9,North America
388,,Canada,CAN,2003,4.9,North America
389,,Canada,CAN,2004,6,North America
390,,Canada,CAN,2005,5.4,North America
391,,Canada,CAN,2006,21.6,North America
392,,Canada,CAN,2007,25.7,North America
393,,Canada,CAN,2008,27.81,North America
394,,Canada,CAN,2009,34.2,North America
395,,Canada,CAN,2010,0,North America
396,,Cape Verde,CPV,2000,0,Africa
397,,Cape Verde,CPV,2001,0,Africa
398,,Cape Verde,CPV,2002,0,Africa
399,,Cape Verde,CPV,2003,0,Africa
400,,Cape Verde,CPV,2004,0,Africa
401,,Cape Verde,CPV,2005,0,Africa
402,,Cape Verde,CPV,2006,0,Africa
403,,Cape Verde,CPV,2007,0,Africa
404,,Cape Verde,CPV,2008,0,Africa
405,,Cape Verde,CPV,2009,0,Africa
406,,Cape Verde,CPV,2010,0,Africa
407,,Cayman Islands,CYM,2000,0,
